config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
1024x64,1024,64,fc_512_512,fc,512,512,0,0,0,0,1,8,8,True,296.394,40,40,3.5824,705.02,856.65,395935.53986963833,1167337885.9510887,2163609.7640591995,536.0216,310.4287,0,0,10.197,8,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_512_512
128x256,128,256,fc_512_512,fc,512,512,0,0,0,0,4,2,8,False,189.059,30,30,2.0151,1279.44,3323.88,387867.5730616761,300853219.73115754,8569625.90031072,1095.311,1857.435,130.5348,230.4,10.197,19,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_512_512
128x128,128,128,fc_256_512,fc,256,512,0,0,0,0,2,4,8,False,258.695,40,40,3.5824,736.72,1360.54,378899.0041248946,735002278.5070634,3590772.1719731195,400.2366,678.7236,43.5116,230.4,7.672499999999999,13,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_256_512
1024x128,1024,128,fc_2048_256,fc,2048,256,0,0,0,0,2,2,4,False,257.456,26,26,1.513564,1870.51,1055.65,353215.03061123495,947283664.0932126,2988689.349298666,547.1879,348.6405,21.7558,115.2,22.869,14,0,6,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_2048_256
128x64,128,64,fc_256_512,fc,256,512,0,0,0,0,2,8,16,False,206.626,40,40,3.5824,919.86,1656.93,303461.9119419177,603525797.7102231,5460092.13939552,522.8693,852.4813,43.5116,230.4,7.672499999999999,17,0,4,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_256_512
512x128,512,128,fc_2048_256,fc,2048,256,0,0,0,0,4,2,8,False,188.501,26,26,1.513564,2556.41,2098.21,258445.3381533561,476596718.1549988,8118583.275644019,954.4607,940.4173,65.2674,115.2,22.869,20,0,6,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_2048_256
512x256,512,256,fc_2048_256,fc,2048,256,0,0,0,0,4,1,4,False,187.464,26,26,1.513564,2570.49,2054.7,257029.6896345137,486689054.3631674,7994018.13433189,911.7399,939.6193,65.2674,115.2,22.869,21,0,6,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_2048_256
256x256,256,256,fc_2048_256,fc,2048,256,0,0,0,0,8,1,8,False,152.47,27,27,1.632231,3164.72,4226.63,193590.0742717905,236595112.41816765,21832885.88476922,1633.0977,2303.1731,152.2906,115.2,22.869,30,0,6,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_2048_256
512x64,512,64,fc_2048_256,fc,2048,256,0,0,0,0,4,4,16,False,184.524,34,34,2.588284,2611.29,2248.78,147956.13119925302,444685562.83851683,15198964.596955841,1072.5629,972.8772,65.2674,115.2,22.869,20,0,6,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_2048_256
1024x64,1024,64,fc_2048_256,fc,2048,256,0,0,0,0,2,4,8,False,250.019,40,40,3.5824,1925.85,1163.28,144945.07584645346,859638264.2184169,8025660.7077311985,635.4461,368.0088,21.7558,115.2,22.869,14,0,6,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_2048_256
256x128,256,128,fc_2048_256,fc,2048,256,0,0,0,0,8,2,16,False,161.264,34,34,2.588284,2992.69,4074.75,129100.02901713755,245413829.06926805,31562734.966226008,1599.8413,2184.552,152.2906,115.2,22.869,31,0,6,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_2048_256
128x128,128,128,fc_512_512,fc,512,512,0,0,0,0,4,4,16,False,194.831,56,56,7.021504,1241.84,3236.4,114684.36332743101,308985292.3000865,28220063.364347905,1062.8617,1802.4072,130.5348,230.4,10.197,18,0,4,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_512_512
