config,d_pct,c_pct,workload,P,fmax_mhz,eff_latency_ns,dpe_area_pct,fmax_seed1,fmax_seed2,fmax_seed3,status
512x128,0,40,fc_512_128,7,121.87366666666667,1.1721739959450594,18.666666666666668,125.85,122.258,117.513,OK (cached)
512x128,0,40,fc_512_512,7,132.4466666666667,1.0786012698732284,18.666666666666668,131.415,133.872,132.053,OK (cached)
512x128,0,60,fc_2048_256,5,124.449,1.6070840263883197,28.000000000000004,119.581,127.522,126.244,OK (cached)
512x128,0,60,fc_512_128,7,124.37033333333333,1.1486432417469026,28.000000000000004,120.692,127.384,125.035,OK (cached)
512x128,0,60,fc_512_512,7,125.42599999999999,1.1389755143043936,28.000000000000004,118.204,128.029,130.045,OK (cached)
512x128,20,0,fc_512_128,7,128.338,1.1131320642143625,4.666666666666667,123.815,132.21,128.989,OK (cached)
512x128,20,0,fc_512_512,1,145.261,6.884160235713646,4.666666666666667,150.826,146.444,138.513,OK (cached)
512x128,20,20,fc_512_128,7,128.338,1.1131320642143625,4.666666666666667,123.815,132.21,128.989,OK (cached)
512x128,20,20,fc_512_512,1,145.261,6.884160235713646,4.666666666666667,150.826,146.444,138.513,OK (cached)
512x128,20,40,fc_2048_256,3,140.27566666666667,2.376273385500455,18.666666666666668,143.708,140.193,136.926,OK (cached)
512x128,20,40,fc_512_128,7,126.31966666666666,1.1309176680628474,18.666666666666668,120.739,127.371,130.849,OK (cached)
512x128,20,40,fc_512_512,7,134.008,1.0660344371764585,18.666666666666668,135.575,135.748,130.701,OK (cached)
512x128,20,60,fc_2048_256,6,130.40900000000002,1.2780304017871975,32.666666666666664,125.301,131.126,134.8,OK (cached)
512x128,20,60,fc_512_128,7,127.80766666666666,1.1177509658299805,32.666666666666664,126.665,129.659,127.099,OK (cached)
512x128,20,60,fc_512_512,7,130.11633333333333,1.097918602510647,32.666666666666664,122.753,132.796,134.8,OK (cached)
512x128,40,0,fc_2048_256,1,141.042,7.090086640858751,9.333333333333334,147.909,141.353,133.864,OK (cached)
512x128,40,0,fc_512_128,7,130.82633333333334,1.091960152190126,9.333333333333334,130.409,132.826,129.244,OK (cached)
512x128,40,0,fc_512_512,3,133.315,2.5003437972721247,9.333333333333334,137.512,130.688,131.745,OK (cached)
