tg,budget_pct,benchmark,fmax_mhz,fmax_seed1,fmax_seed2,fmax_seed3,clb,dsp_top,memory,status
512x128,10,stereovision1,182.32366666666667,181.535,182.718,182.718,519,40,0,OK
512x128,20,LU8PEEng,12.508666666666665,12.7615,12.3069,12.4576,1676,8,74,OK
512x128,20,arm_core,48.36333333333334,49.3599,48.8173,46.9128,662,0,42,OK
512x128,20,bgm,54.56456666666666,53.3334,54.1215,56.2388,2089,11,0,OK
512x128,20,stereovision1,179.04133333333334,176.031,176.031,185.062,519,40,0,OK
512x128,30,LU8PEEng,12.419400000000001,12.6743,12.2849,12.299,1676,8,74,OK
512x128,30,arm_core,46.77363333333333,46.4596,47.8461,46.0152,662,0,42,OK
512x128,30,bgm,51.0742,50.768,51.5528,50.9018,2089,11,0,OK
512x128,30,stereovision1,180.665,176.031,189.933,176.031,519,40,0,OK
512x128,35,LU8PEEng,12.4061,12.4259,12.2678,12.5246,1676,8,74,OK
512x128,35,arm_core,45.12200000000001,47.1403,44.3151,43.9106,662,0,42,OK
512x128,35,bgm,51.601166666666664,51.7787,51.3437,51.6811,2089,11,0,OK
512x128,35,stereovision1,177.268,181.535,181.535,168.734,519,40,0,OK
512x128,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
512x128,40,arm_core,44.84153333333333,44.3151,45.2755,44.934,662,0,42,OK
512x128,40,bgm,nan,nan,nan,nan,0,0,0,FAILED
512x128,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
512x128,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
512x128,50,arm_core,45.86456666666667,47.3748,45.4917,44.7272,662,0,42,OK
512x128,50,bgm,nan,nan,nan,nan,0,0,0,FAILED
512x128,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
512x256,0,LU8PEEng,12.451,12.4644,12.5693,12.3193,1676,8,74,OK
512x256,0,arm_core,46.466633333333334,46.4596,44.8575,48.0828,662,0,42,OK
512x256,0,bgm,54.38216666666667,55.4408,54.7636,52.9421,2089,11,0,OK
512x256,0,stereovision1,183.9093333333333,182.718,182.718,186.292,519,40,0,OK
512x256,10,LU8PEEng,12.451,12.4644,12.5693,12.3193,1676,8,74,OK
512x256,10,arm_core,46.466633333333334,46.4596,44.8575,48.0828,662,0,42,OK
512x256,10,bgm,54.38216666666667,55.4408,54.7636,52.9421,2089,11,0,OK
512x256,10,stereovision1,183.9093333333333,182.718,182.718,186.292,519,40,0,OK
512x256,20,LU8PEEng,12.473533333333334,12.4067,12.4089,12.605,1676,8,74,OK
512x256,20,arm_core,47.66113333333334,47.5163,48.3268,47.1403,662,0,42,OK
512x256,20,bgm,54.60830000000001,55.051,55.3661,53.4078,2089,11,0,OK
512x256,20,stereovision1,189.17933333333335,185.062,192.467,190.009,519,40,0,OK
512x256,30,LU8PEEng,12.3161,12.3864,12.0269,12.535,1676,8,74,OK
512x256,30,arm_core,45.28643333333333,46.2341,46.0107,43.6145,662,0,42,OK
512x256,30,bgm,51.45086666666666,51.7317,50.7719,51.849,2089,11,0,OK
512x256,30,stereovision1,183.11,179.278,185.062,184.99,519,40,0,OK
512x256,35,LU8PEEng,12.631633333333333,12.5542,12.4866,12.8541,1676,8,74,OK
512x256,35,arm_core,48.2811,47.0515,49.3178,48.474,662,0,42,OK
512x256,35,bgm,55.47006666666667,54.7291,55.8,55.8811,2089,11,0,OK
512x256,35,stereovision1,182.42633333333333,179.346,188.655,179.278,519,40,0,OK
512x256,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
512x256,40,arm_core,47.91336666666667,47.1403,47.0304,49.5694,662,0,42,OK
512x256,40,bgm,52.641133333333336,52.6738,51.6159,53.6337,2089,11,0,OK
512x256,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
512x256,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
512x256,50,arm_core,46.821866666666665,47.8461,46.9128,45.7067,662,0,42,OK
512x256,50,bgm,nan,nan,nan,nan,0,0,0,FAILED
512x256,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
512x64,0,LU8PEEng,12.451,12.4644,12.5693,12.3193,1676,8,74,OK
512x64,0,arm_core,46.466633333333334,46.4596,44.8575,48.0828,662,0,42,OK
512x64,0,bgm,54.38216666666667,55.4408,54.7636,52.9421,2089,11,0,OK
512x64,0,stereovision1,183.9093333333333,182.718,182.718,186.292,519,40,0,OK
512x64,10,LU8PEEng,12.306066666666666,12.2331,12.3827,12.3024,1676,8,74,OK
512x64,10,arm_core,47.340466666666664,47.8461,49.3178,44.8575,662,0,42,OK
512x64,10,bgm,53.40113333333333,53.1165,54.3477,52.7392,2089,11,0,OK
512x64,10,stereovision1,174.2253333333333,174.868,171.777,176.031,519,40,0,OK
512x64,20,LU8PEEng,12.470966666666667,12.276,12.5783,12.5586,1676,8,74,OK
512x64,20,arm_core,46.75273333333333,47.3748,48.5683,44.3151,662,0,42,OK
512x64,20,bgm,53.19333333333333,52.8919,52.9865,53.7016,2089,11,0,OK
512x64,20,stereovision1,187.867,188.58,188.729,186.292,519,40,0,OK
512x64,30,LU8PEEng,12.194633333333334,12.3341,11.8572,12.3926,1676,8,74,OK
512x64,30,arm_core,44.982033333333334,44.5223,45.5748,44.849,662,0,42,OK
512x64,30,bgm,51.474,51.438,52.3421,50.6419,2089,11,0,OK
512x64,30,stereovision1,181.68033333333332,182.718,176.031,186.292,519,40,0,OK
512x64,35,LU8PEEng,11.873633333333332,11.9867,11.4637,12.1705,1676,8,74,OK
512x64,35,arm_core,46.253433333333334,48.2469,45.1513,45.3621,662,0,42,OK
512x64,35,bgm,nan,nan,nan,nan,0,0,0,FAILED
512x64,35,stereovision1,182.36833333333334,181.535,179.278,186.292,519,40,0,OK
512x64,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
512x64,40,arm_core,45.26836666666667,45.7939,45.2798,44.7314,662,0,42,OK
512x64,40,bgm,nan,nan,nan,nan,0,0,0,FAILED
512x64,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
512x64,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
512x64,50,arm_core,45.26836666666667,45.7939,45.2798,44.7314,662,0,42,OK
512x64,50,bgm,nan,nan,nan,nan,0,0,0,FAILED
512x64,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
