dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_need,clbs_avail,clb_util_pct,fmax_mhz,fmax_baseline_mhz,gain,utilization,energy_pj,energy_baseline_pj,energy_ratio,tpj_scaling,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
0.6,0.2,512x256,fc_512_128,54,54,1,1,1,1650,8782,18.8,141.74133333333336,227.35833333333335,33.6651,0.6234,618.53,388.01,0.6273,0.3911,120,120,493,0,216,54,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c20/fc_512_128
0.6,0.4,512x256,fc_512_128,72,72,1,1,1,2190,6586,33.3,109.04833333333333,227.35833333333335,34.5335,0.4796,802.05,388.01,0.4838,0.232,120,120,728,0,288,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c40/fc_512_128
0.6,0.6,512x256,fc_512_128,108,108,1,1,1,3270,4391,74.5,94.75516666666665,227.35833333333335,45.0107,0.4168,922.07,388.01,0.4208,0.1754,120,120,1114,0,432,108,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c60/fc_512_128
0.8,0.0,512x256,fc_512_128,45,45,1,1,1,1380,10978,12.6,145.48333333333332,227.35833333333335,28.7949,0.6399,602.78,388.01,0.6437,0.4119,120,120,425,0,180,45,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c0/fc_512_128
0.8,0.2,512x256,fc_512_128,63,63,1,1,1,1920,8782,21.9,131.10133333333332,227.35833333333335,36.3276,0.5766,668.21,388.01,0.5807,0.3348,120,120,599,0,252,63,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c20/fc_512_128
0.8,0.4,512x256,fc_512_128,81,81,1,1,1,2460,6586,37.4,92.48866666666667,227.35833333333335,32.9505,0.4068,944.51,388.01,0.4108,0.1671,120,120,808,0,324,81,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c40/fc_512_128
0.8,0.6,512x256,fc_512_128,117,117,1,1,1,3540,4391,80.6,101.72426666666667,227.35833333333335,52.3479,0.4474,859.34,388.01,0.4515,0.202,120,120,1153,0,468,117,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c60/fc_512_128
1.0,0.0,512x256,fc_512_128,63,63,1,1,1,1920,10978,17.5,132.11833333333334,227.35833333333335,36.6094,0.5811,663.11,388.01,0.5851,0.34,120,120,599,0,252,63,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c0/fc_512_128
1.0,0.2,512x256,fc_512_128,72,72,1,1,1,2190,8782,24.9,103.55233333333332,227.35833333333335,32.793,0.4555,844.28,388.01,0.4596,0.2093,120,120,728,0,288,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c20/fc_512_128
1.0,0.4,512x256,fc_512_128,90,90,1,1,1,2730,6586,41.5,105.32833333333333,227.35833333333335,41.6943,0.4633,830.15,388.01,0.4674,0.2165,120,120,923,0,360,90,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c40/fc_512_128
