config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
1024x128,1024,128,fc_512_128,fc,512,128,0,0,0,0,1,1,1,True,346.512,13,13,0.378391,382.28,172.78,6913176.173575611,5787706910.522051,24992.853597514397,101.6392,64.7594,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_512_128
512x256,512,256,fc_512_128,fc,512,128,0,0,0,0,1,1,1,True,346.512,14,14,0.438844,382.28,256.78,5960850.884358562,3894384297.8425117,43077.742587689594,123.3135,127.0842,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_512_128
1024x256,1024,256,fc_512_128,fc,512,128,0,0,0,0,1,1,1,True,346.512,14,14,0.438844,382.28,324.58,5960850.884358562,3080904553.5769305,54451.95766458559,190.2941,127.8957,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_512_128
1024x64,1024,64,fc_512_128,fc,512,128,0,0,0,0,1,2,2,True,312.747,14,14,0.438844,422.47,206.93,5393789.088154403,4832552070.748562,38364.496019032405,126.9985,73.5492,0,0,6.3854999999999995,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_512_128
256x64,256,64,fc_128_128,fc,128,128,0,0,0,0,1,2,2,True,331.576,24,24,1.289664,166.83,121.43,4647819.708667045,8235197232.973729,26126.228556921604,52.0231,66.8284,0,0,2.574,7,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_128_128
512x64,512,64,fc_512_128,fc,512,128,0,0,0,0,1,2,2,True,276.758,16,16,0.573184,476.11,176.86,3664364.252994218,5654189754.608164,48264.85245168641,89.3893,81.0813,0,0,6.3854999999999995,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_512_128
1024x256,1024,256,fc_256_512,fc,256,512,0,0,0,0,1,2,2,True,291.401,20,20,0.8956,541.91,764.41,2060434.1999143206,1308198479.8733664,370994.6185283599,452.5667,304.1678,0,0,7.672499999999999,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_256_512
1024x256,1024,256,fc_512_512,fc,512,512,0,0,0,0,1,2,2,True,312.747,20,20,0.8956,668.68,715.28,1669812.013632185,1398053908.9587295,428359.59626623994,421.6776,283.4074,0,0,10.197,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_512_512
256x128,256,128,fc_512_128,fc,512,128,0,0,0,0,2,1,2,False,235.194,22,22,1.083676,596.75,399.22,1546351.133759059,2504884524.8234053,258169.04795066002,137.1191,187.2335,10.8779,57.6,6.3854999999999995,12,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_512_128
256x128,256,128,fc_256_512,fc,256,512,0,0,0,0,1,4,4,True,312.747,25,25,1.399375,505.61,495.52,1413351.66285549,2018082014.8530836,350599.226663,206.2344,281.6091,0,0,7.672499999999999,7,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_256_512
1024x64,1024,64,fc_256_512,fc,256,512,0,0,0,0,1,8,8,True,315.857,26,26,1.513564,500.73,801.96,1319458.0850131228,1246944984.787271,607794.9797033712,502.9922,291.3002,0,0,7.672499999999999,7,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_256_512
512x256,512,256,fc_256_512,fc,256,512,0,0,0,0,1,2,2,True,312.747,26,26,1.513564,505.61,562.54,1306723.061072014,1777651367.0139012,430496.7263212616,273.2535,281.6091,0,0,7.672499999999999,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_256_512
512x128,512,128,fc_256_512,fc,256,512,0,0,0,0,1,4,4,True,293.654,26,26,1.513564,537.83,615.85,1228440.6725333673,1623772022.4080539,501326.61167100206,306.3415,301.8341,0,0,7.672499999999999,7,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_256_512
1024x128,1024,128,fc_256_512,fc,256,512,0,0,0,0,1,4,4,True,293.654,26,26,1.513564,537.83,793.07,1228440.6725333673,1260922743.2635202,645590.8028219885,479.7374,305.6645,0,0,7.672499999999999,7,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_256_512
256x256,256,256,fc_256_512,fc,256,512,0,0,0,0,1,2,2,True,291.401,26,26,1.513564,541.91,522.57,1219191.8342688289,1913619228.0460033,428619.99671560683,213.6218,301.2728,0,0,7.672499999999999,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_256_512
256x64,256,64,fc_512_128,fc,512,128,0,0,0,0,2,2,4,False,252.612,26,26,1.513564,556.29,386.87,1187675.9368470062,2584847623.23261,325737.0028284372,136.5699,175.4366,10.8779,57.6,6.3854999999999995,12,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_512_128
512x64,512,64,fc_256_512,fc,256,512,0,0,0,0,1,8,8,True,334.496,30,30,2.0151,473.38,571.85,1048319.0833538191,1748710326.1344757,545492.3115303,295.8385,268.3428,0,0,7.672499999999999,7,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_256_512
